Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,12202.150391,12222.200195,12165.299805,12182.500000,12182.500000,304100
2020-01-02,12198.549805,12289.900391,12195.250000,12282.200195,12282.200195,407700
2020-01-03,12261.099609,12265.599609,12191.349609,12226.650391,12226.650391,428800
2020-01-06,12170.599609,12179.099609,11974.200195,11993.049805,11993.049805,396500
2020-01-07,12079.099609,12152.150391,12005.349609,12052.950195,12052.950195,447800
2020-01-08,11939.099609,12044.950195,11929.599609,12025.349609,12025.349609,446000
2020-01-09,12153.150391,12224.049805,12132.549805,12215.900391,12215.900391,477500
2020-01-10,12271.000000,12311.200195,12213.200195,12256.799805,12256.799805,660600
2020-01-13,12296.700195,12337.750000,12285.799805,12329.549805,12329.549805,501000
2020-01-14,12333.099609,12374.250000,12308.700195,12362.299805,12362.299805,616300
2020-01-15,12349.400391,12355.150391,12278.750000,12343.299805,12343.299805,684400
2020-01-16,12347.099609,12389.049805,12315.799805,12355.500000,12355.500000,395700
2020-01-17,12328.400391,12385.450195,12321.400391,12352.349609,12352.349609,502100
2020-01-20,12430.500000,12430.500000,12216.900391,12224.549805,12224.549805,491600
2020-01-21,12195.299805,12230.049805,12162.299805,12169.849609,12169.849609,444000
2020-01-22,12218.349609,12225.049805,12087.900391,12106.900391,12106.900391,500
2020-01-23,12123.750000,12189.000000,12094.099609,12180.349609,12180.349609,867700
2020-01-24,12174.549805,12272.150391,12149.650391,12248.250000,12248.250000,593200
2020-01-27,12197.099609,12216.599609,12107.000000,12119.000000,12119.000000,441200
2020-01-28,12148.099609,12163.549805,12024.500000,12055.799805,12055.799805,478500
2020-01-29,12114.900391,12169.599609,12103.799805,12129.500000,12129.500000,514400
2020-01-30,12147.750000,12150.299805,12010.599609,12035.799805,12035.799805,538100
2020-01-31,12100.400391,12103.549805,11945.849609,11962.099609,11962.099609,771300
